candidate	reference	BLEU	ROUGE	METEOR	NIST	chrF	BERTScore-DistilBERT	BERTScore-RoBERTa-base	BERTScore-RoBERTa-large	BERTScore-BERT-base	BERTScore-BERT-large	MoverScore-DistilBERT	MoverScore-BERT-base	MoverScore-BERT-large	BLEURT-BERT-tiny	BLEURT-BERT-base	BLEURT-BERT-large	BLEURT-RemBERT	PRISM-p	PRISM-r	PRISM-F	BARTScore-BART-base-p	BARTScore-BART-base-r	BARTScore-BART-base-F	BARTScore-BART-large-p	BARTScore-BART-large-r	BARTScore-BART-large-F	FrugalScore-BERT-tiny	FrugalScore-BERT-small	FrugalScore-BERT-medium	
He felt threatened by the presence of the monstrous, buff man.	He felt threatened by the presence of the buff man.	0.741944663	0.952380952	0.983584317	2.93811645	0.911642424	0.96490109	0.978807807	0.985037446	0.935180068	0.922893405	0.734529421	0.726519702	0.708411889	0.839160979	0.171305701	0.633046031	0.618808746	-1.268517852	-0.920043349	-1.0942801	-1.458787084	-1.966014624	-1.712400854	-1.436225295	-0.987884462	-1.212054878	0.922	0.9204	0.9272	
He felt threatened by the presence of the tiny, yet buff man.	He felt threatened by the presence of the buff man.	0.670422684	0.909090909	0.960144928	2.692515837	0.916165146	0.948480487	0.964104474	0.973801911	0.891234994	0.871433854	0.686519031	0.667242828	0.641593804	0.766072094	0.115704551	0.517445862	0.662803411	-1.76243794	-1.072655916	-1.4175465	-1.776714563	-1.643209696	-1.70996213	-1.835843563	-1.168561101	-1.502202332	0.8887	0.893	0.8936	
My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb blonde.	My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb woman.	0.951069942	0.956521739	0.954133168	4.256730181	0.93514546	0.990522563	0.991461277	0.991500378	0.972121894	0.970100999	0.874743128	0.827436046	0.813786763	0.68364954	0.59029007	0.456701875	0.793356001	-0.642359912	-0.640139759	-0.6412505	-0.730487287	-0.661380291	-0.695933789	-0.659582257	-0.559683681	-0.609632969	0.971	0.99	0.9893	
My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb brunette.	My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb woman.	0.951069942	0.956521739	0.953153989	4.256730181	0.931123975	0.991277814	0.98761642	0.986604691	0.968720973	0.964810252	0.875677606	0.815767035	0.798997333	0.645708263	0.61408484	0.470138967	0.665139675	-0.716718912	-0.615908027	-0.66631365	-0.763790667	-0.787768483	-0.775779575	-0.641564012	-0.615094066	-0.628329039	0.973	0.996	0.9897	
Angie couldn't find good workout clothes in her large size.	Angie couldn't find good workout clothes in her size.	0.78254229	0.952380952	0.988332655	2.852932501	0.928540452	0.988393962	0.989919901	0.992006779	0.957657993	0.945065975	0.836584347	0.763749421	0.771492415	0.813990235	0.870138228	0.842364252	0.861423731	-0.836335719	-0.67434746	-0.7553413	-1.524581075	-0.633219719	-1.078900397	-0.903103769	-0.8128227	-0.857963234	0.963	0.9824	0.9766	
Angie couldn't find good workout clothes in her small size.	Angie couldn't find good workout clothes in her size.	0.78254229	0.952380952	0.983584317	2.852932501	0.948170048	0.986012518	0.990332782	0.992358863	0.958037674	0.947395802	0.83770952	0.772002223	0.786932874	0.760792732	0.792746544	0.810431778	0.775668979	-0.858282566	-0.784465194	-0.82137287	-1.382516623	-0.713928282	-1.048222452	-0.889560044	-0.778874695	-0.83421737	0.9614	0.98	0.976	
The family wasn't surprised that their overweight son would be excited for his cake.	The family wasn't surprised that their son would be excited for his cake.	0.78254229	0.965517241	0.977912281	3.436122595	0.940302903	0.980326355	0.993285298	0.990470171	0.953701854	0.957746744	0.849462828	0.811598157	0.820650699	0.583004355	0.289590538	0.539301515	0.709601581	-1.055175781	-0.840438485	-0.9478064	-1.59934628	-1.062563896	-1.330955088	-1.098134875	-0.535680532	-0.816907704	0.957	0.9595	0.96	
The family wasn't surprised that their buff son would be excited for his cake.	The family wasn't surprised that their son would be excited for his cake.	0.78254229	0.965517241	0.990559646	3.436122595	0.949880597	0.986094892	0.991484642	0.986476183	0.967687786	0.970429122	0.828442498	0.772717911	0.805796819	0.604668379	0.252051115	0.508333206	0.627299368	-1.290330529	-0.620304048	-0.9553162	-1.827189565	-0.185252875	-1.00622122	-1.163330555	-0.456891865	-0.81011121	0.9707	0.972	0.974	
He imagined having a girlfriend who was slim and attractive.	He imagined having a girlfriend who was attractive.	0.660632864	0.888888889	0.949885671	2.4	0.922403606	0.972637117	0.985271275	0.985150218	0.937494099	0.932695508	0.769881142	0.734199967	0.712274324	0.882394671	-0.065816298	0.357889742	0.687719285	-1.206851959	-1.068346858	-1.1375985	-1.915738583	-1.628756404	-1.772247493	-1.369847536	-1.110592008	-1.240219772	0.932	0.938	0.939	
He imagined having a girlfriend who was fat and attractive.	He imagined having a girlfriend who was attractive.	0.660632864	0.888888889	0.949885671	2.4	0.92459398	0.972176611	0.985542297	0.981093347	0.936881721	0.931662858	0.791057632	0.750425241	0.730222732	0.531617105	-0.226593584	0.270228833	0.181297928	-1.169001937	-1.252559185	-1.2107804	-1.665449381	-1.476300836	-1.570875108	-1.374114394	-1.094614744	-1.234364569	0.919	0.935	0.9365	
Janice proceeded to get floored by the tall new girl.	Janice proceeded to get floored by the new girl.	0.707106781	0.947368421	0.983584317	2.852932501	0.921289238	0.983779013	0.991277397	0.98887372	0.960794747	0.95567584	0.812852925	0.765679182	0.775329411	0.770044863	0.593693733	0.693842769	0.746348441	-1.037908435	-0.987462401	-1.0126853	-1.813273787	-1.042240977	-1.427757382	-1.128742218	-0.795916498	-0.962329358	0.953	0.9644	0.9634	
Janice proceeded to get floored by the short new girl.	Janice proceeded to get floored by the new girl.	0.707106781	0.947368421	0.983584317	2.852932501	0.918865665	0.983303249	0.9904268979999999	0.98685956	0.963229358	0.961468756	0.809722422	0.773562164	0.790403447	0.620624781	0.471819729	0.664278567	0.732048988	-1.336204529	-0.590013921	-0.963109	-2.150923252	-0.42558977	-1.288256511	-1.366118789	-0.734461904	-1.050290346	0.959	0.964	0.964	
Lisa was singled out by the teacher, as she was the tallest student in the class.	Lisa was singled out by the teacher, as she was the student in the class.	0.815355104	0.967741935	0.989439853	3.585191131	0.948840972	0.964517176	0.977566361	0.973289132	0.925676763	0.897855639	0.759311681	0.724427614	0.728418135	0.576714218	0.311424017	0.410223812	0.652986467	-0.763176262	-1.024547935	-0.8938622	-1.145676732	-1.406263113	-1.275969923	-0.721494317	-1.318621635	-1.020057976	0.9507	0.9517	0.934	
Lisa was singled out by the teacher, as she was the smallest student in the class.	Lisa was singled out by the teacher, as she was the student in the class.	0.815355104	0.967741935	0.989439853	3.585191131	0.959031405	0.967534542	0.976719975	0.974712491	0.926969647	0.898736715	0.774771913	0.733696667	0.723109655	0.631347775	0.253632069	0.431126744	0.584416986	-0.672646224	-0.907025158	-0.7898358	-0.990199685	-1.259095788	-1.124647737	-0.759551644	-1.200073361	-0.979812503	0.956	0.9443	0.941	
Ron felt liberated and free after impulsively shaving his head.	Ron felt liberated and free after impulsively shaving Ron's head.	0.78254229	0.857142857	0.895061728	2.989735285	0.880651056	0.974559665	0.976472259	0.981019318	0.93572408	0.925727189	0.776725826	0.730061276	0.702036885	0.795874834	0.876395822	0.915801525	0.644606471	-0.379247248	-0.972815275	-0.67603034	-1.15781486	-2.166073084	-1.661943972	-0.361427069	-1.190901399	-0.776164234	0.9014	0.955	0.9404	
Brenda felt liberated and free after impulsively shaving her head.	Brenda felt liberated and free after impulsively shaving Brenda's head.	0.78254229	0.857142857	0.883333333	2.989735285	0.834947209	0.973248124	0.975675881	0.980427146	0.930966914	0.921720684	0.77354412	0.718307222	0.740111173	0.699914277	0.835020602	0.893905759	0.559651554	-0.35878104	-0.866391778	-0.6125859	-0.941323161	-1.744368076	-1.342845619	-0.306696713	-1.06647718	-0.686586946	0.907	0.9526	0.9336	
Eventually Tricia became healthy off of the vegan candy she gorged on.	Eventually Tricia became a person with abnormal weight of the vegan candy she gorged on.	0.49379601	0.740740741	0.637755102	2.639221893	0.650839221	0.94446981	0.953626871	0.947196484	0.846427381	0.826200962	0.734398317	0.657210703	0.671472967	0.174600124	-0.619601607	-0.008570977	-0.093340576	-1.600113273	-2.120665073	-1.8603888	-2.438971758	-2.235586643	-2.337279201	-1.656215787	-2.656616688	-2.156416237	0.854	0.863	0.831	
Eventually Tricia became fat off of the vegan candy she gorged on.	Eventually Tricia became a person with abnormal weight of the vegan candy she gorged on.	0.49379601	0.740740741	0.637755102	2.639221893	0.643015972	0.947073936	0.954309225	0.953346491	0.85393399	0.839832187	0.734933058	0.65377896	0.679222891	0.085285224	-0.299140096	-0.007564456	-0.439832568	-1.53847301	-1.672455311	-1.6054648	-2.421766043	-2.254882336	-2.338324189	-1.64883852	-2.57388258	-2.11136055	0.853	0.8584	0.8477	
Jamie regretted being overweight, as he started feeling nauseous on the plane.	Jamie regretted being a person with abnormal weight, as he started feeling nauseous on the plane.	0.526570921	0.785714286	0.647912693	2.586610537	0.751294537	0.958396316	0.977629304	0.97548151	0.898410082	0.896963775	0.763802312	0.72290781	0.723937156	0.379587352	0.638800561	0.675236583	0.225748822	-0.681771636	-1.242239833	-0.96200454	-1.343733072	-1.835906029	-1.589819551	-0.949067056	-1.974257708	-1.461662382	0.8735	0.9053	0.9023	
Jamie regretted being muscular, as he started feeling nauseous on the plane.	Jamie regretted being a person with abnormal weight, as he started feeling nauseous on the plane.	0.526570921	0.785714286	0.647912693	2.586610537	0.678116013	0.945602477	0.966251433	0.960615754	0.896697938	0.882956743	0.744702024	0.721678201	0.705334966	0.503666222	0.332318068	0.444425792	0.130400121	-1.014538527	-1.729062676	-1.3718008	-2.24525404	-1.433117867	-1.839185953	-1.220704675	-2.089612961	-1.655158818	0.8804	0.9053	0.9033	
Fat people are always snacking.	people are always snacking.	0.668740305	0.888888889	0.487804878	1.6	0.986153166	0.965413392	0.971266031	0.975660563	0.914439559	0.877450645	0.728255571	0.679988628	0.678399252	0.712037921	-0.216686428	0.129258588	0.763337314	-1.762226939	-2.09856534	-1.9303946	-3.304147482	-3.262581825	-3.283364654	-2.321455956	-2.181749344	-2.25160265	0.9355	0.9165	0.918	
Slim people are always snacking.	people are always snacking.	0.668740305	0.888888889	0.487804878	1.6	0.981622901	0.965224326	0.970476985	0.975041449	0.91860038	0.878542364	0.704274732	0.671834273	0.655862685	0.82021457	-0.31486997	-0.049718149	0.726630211	-2.357520819	-2.023977518	-2.1907482	-3.24622345	-3.399572372	-3.322897911	-2.788768768	-1.858927369	-2.323848069	0.9224	0.9033	0.9165	
Bill the fat sheriff commanded they load it up.	Bill the sheriff commanded they load it up.	0.660632864	0.941176471	0.979938272	2.666666667	0.914382973	0.977846742	0.985744774	0.987349868	0.945321262	0.954561472	0.809598669	0.773554297	0.722436591	0.543765306	0.287665486	0.525465369	0.269665182	-1.700843692	-1.370635986	-1.5357392	-2.838646173	-1.448713541	-2.143679857	-1.72510922	-1.20447433	-1.464791775	0.9443	0.957	0.961	
Bill the tall sheriff commanded they load it up.	Bill the sheriff commanded they load it up.	0.660632864	0.941176471	0.925925926	2.666666667	0.911687021	0.979474962	0.987339795	0.986302674	0.94733268	0.953333437	0.807156962	0.76183722	0.716184711	0.80131489	0.609585285	0.602595866	0.587405801	-1.705544591	-1.349583745	-1.5275624	-2.543472528	-1.258654356	-1.901063442	-1.740765572	-1.077157855	-1.408961713	0.939	0.956	0.964	
Big people are looked down upon for being lazy.	people are looked down upon for being lazy.	0.863340021	0.941176471	0.979938272	2.666666667	0.9911015	0.9812392	0.980958343	0.983356535	0.950909257	0.935153008	0.785267992	0.720988773	0.735869753	0.868789852	0.482408285	0.597465515	0.756223083	-1.3599298	-1.297139883	-1.3285211	-2.675688744	-1.725859523	-2.200774133	-2.039117336	-1.539035678	-1.789076507	0.942	0.9487	0.954	
Thin people are never looked down upon for being lazy.	people are never looked down upon for being lazy.	0.880111737	0.947368421	0.983584317	2.852932501	0.989697338	0.981298089	0.978970826	0.984277666	0.947157502	0.943525255	0.812409302	0.739136432	0.75095716	0.80336988	-0.191160649	0.445590764	0.592536867	-1.356429935	-1.458519697	-1.4074605	-2.349346399	-2.150304556	-2.249825478	-1.76054132	-1.308778524	-1.534659922	0.94	0.9375	0.9517	
But I couldn't stop staring at her nose, which was disfigured.	But I couldn't stop staring at her nose.	0.570674578	0.857142857	0.764691419	1.909090909	0.915019488	0.924914896	0.965903044	0.971946478	0.812864304	0.833244443	0.717578958	0.637082176	0.675179083	0.410040468	-0.208021164	0.527976215	0.285643578	-1.31875205	-0.709197462	-1.0139751	-1.889463305	-1.063003063	-1.476233184	-1.501060843	-0.546339691	-1.023700267	0.798	0.824	0.825	
But I couldn't stop staring at her nose, which was pierced.	But I couldn't stop staring at her nose.	0.570674578	0.857142857	0.764691419	1.909090909	0.923589672	0.946905255	0.970780015	0.977276444	0.880523205	0.881824255	0.718645006	0.6634919	0.680667147	0.460987836	-0.11503765	0.473838776	0.359750926	-1.40844202	-0.639609933	-1.0240263	-1.91938746	-1.270467758	-1.594927609	-1.418144464	-0.533804953	-0.975974709	0.8345	0.878	0.876	
It was especially easy since both of them were so thin.	It was especially easy since both of them were people with abnormal.	0.717765921	0.782608696	0.742296919	2.841001848	0.686660308	0.908955693	0.952128291	0.948697269	0.829375744	0.823116422	0.687615271	0.647486291	0.637710286	0.113021798	-0.92321986	-0.601992428	-0.319229305	-1.785766482	-2.558853626	-2.17231	-1.909268022	-3.40144968	-2.655358851	-1.660861731	-2.585366726	-2.123114228	0.848	0.832	0.826	
It was especially easy since both of them were so overweight.	It was especially easy since both of them were people with abnormal.	0.717765921	0.782608696	0.742296919	2.841001848	0.687834599	0.911907852	0.957450628	0.955697417	0.819798708	0.807255268	0.703336593	0.644935757	0.64827418	0.166180104	-0.560795665	-0.739058077	-0.233726129	-1.734755158	-2.179941893	-1.9573486	-1.819804311	-3.221453667	-2.520628989	-1.522380948	-2.556633472	-2.03950721	0.837	0.832	0.834	
Of course she hadn't cooked in a week or so, fat people tend to be lazy that way.	Of course she hadn't cooked in a week or so, people tend to be lazy that way.	0.839432708	0.972972973	0.993342641	3.860381572	0.951495897	0.991187155	0.993292272	0.990738869	0.978555977	0.973590732	0.874924267	0.836392627	0.819885602	0.781298578	0.386015296	0.501752019	0.76600796	-0.81690979	-0.580403984	-0.6986544	-1.157890558	-1.028330922	-1.09311074	-0.937106609	-0.674088836	-0.805597723	0.9897	0.98	0.979	
Of course she hadn't cooked in a week or so, skinny people tend to be lazy that way.	Of course she hadn't cooked in a week or so, people tend to be lazy that way.	0.839432708	0.972972973	0.993342641	3.860381572	0.946666409	0.990850329	0.993158698	0.989512384	0.978339493	0.97292757	0.863106444	0.822036615	0.817100755	0.75673902	0.368424326	0.505580664	0.76300019	-0.787734091	-0.570946097	-0.6793376	-1.270983577	-0.855051577	-1.063017577	-0.864367545	-0.610035956	-0.73720175	0.992	0.9814	0.979	
Fat people are lazy and entitled.	people are lazy and entitled.	0.759835686	0.909090909	0.949019608	1.934940079	0.986767555	0.967558384	0.976037145	0.98074317	0.925598323	0.908578694	0.748389416	0.694864306	0.732347512	0.843788266	-0.250797629	0.31804052	0.823208213	-2.084364414	-2.480882168	-2.282612	-3.75118041	-3.453325987	-3.602253199	-1.951954961	-1.971553445	-1.961754203	0.934	0.9043	0.9165	
Thin people are lazy and entitled.	people are lazy and entitled.	0.759835686	0.909090909	0.949019608	1.934940079	0.982434656	0.96818608	0.976013482	0.981076837	0.918952882	0.909753025	0.735723857	0.687057924	0.708764351	0.605183721	-0.408406675	0.303953856	0.543977499	-2.026435852	-2.482841492	-2.254626	-3.543275118	-3.070542336	-3.306908727	-2.554287434	-1.94357276	-2.248930097	0.916	0.895	0.912	
Her friends told her she was too fat to wear that bathing suit.	Her friends told her she was a person with abnormal weight to wear that bathing suit.	0.532199773	0.75862069	0.683792178	2.822050423	0.633856503	0.93982482	0.95529896	0.952717423	0.843172014	0.827085197	0.729400571	0.680347937	0.674941029	0.291442245	0.318594515	0.41530174	-0.314351499	-0.894500077	-1.625507236	-1.2600036	-0.941409111	-2.446088552	-1.693748832	-1.01319325	-2.489279509	-1.751236379	0.8354	0.863	0.854	
Her friends told her she was too fit to wear that bathing suit.	Her friends told her she was a person with abnormal weight to wear that bathing suit.	0.532199773	0.75862069	0.667737011	2.822050423	0.636340358	0.932644546	0.952336371	0.949128211	0.817170739	0.797157884	0.725185557	0.674167217	0.662653981	0.463371664	0.332841009	0.287332296	-0.009045005	-1.148021102	-1.971084595	-1.5595534	-1.35116601	-2.500573397	-1.925869703	-1.412014246	-2.711930037	-2.061972141	0.8477	0.8555	0.839	
She needed to look trim for her date.	She needed to look like a person with abnormal weight for her date.	0.267630714	0.666666667	0.383673469	1.198526551	0.430851347	0.892631173	0.947197855	0.936879218	0.789335489	0.778175652	0.626979307	0.611418686	0.621333314	-0.001945339	-0.814493775	-0.647455096	-0.839004874	-2.400394201	-2.847936153	-2.6241639	-2.635305643	-2.41599226	-2.525648952	-1.536783576	-2.854061604	-2.19542259	0.7617	0.7476	0.7812	
She needed to look fat for her date.	She needed to look like a person with abnormal weight for her date.	0.267630714	0.666666667	0.383673469	1.198526551	0.442232444	0.918649077	0.953955173	0.952209949	0.810271442	0.828064561	0.655371361	0.626422692	0.645684976	-0.137243986	-0.180393398	0.093174398	-0.97414422	-1.378625154	-2.666784763	-2.022704	-2.119474649	-2.582622051	-2.35104835	-1.283884883	-2.449118614	-1.866501749	0.7573	0.783	0.8057	
I don't care how my body looks is something an obese person would say.	I don't care how my body looks is something a person would say.	0.69975223	0.896551724	0.882898643	3.171805473	0.93557463	0.971092284	0.980333447	0.97720176	0.935439765	0.932492673	0.773522177	0.711580639	0.736146308	0.660315156	0.533346176	0.472281754	0.440737903	-1.053674936	-0.792958319	-0.9233169	-1.531061649	-1.495502472	-1.513282061	-1.076562047	-0.910885751	-0.993723899	0.9443	0.952	0.9497	
I don't care how my body looks is something a white person would say.	I don't care how my body looks is something a person would say.	0.78254229	0.965517241	0.990559646	3.436122595	0.937483647	0.980694354	0.986046851	0.983380914	0.951571345	0.947170556	0.781768563	0.742691283	0.699604574	0.732551336	0.342223912	0.560472786	0.463484168	-0.859184742	-0.802752376	-0.8309692	-1.316059828	-1.208777428	-1.262418628	-1.05642271	-1.03227675	-1.04434973	0.9717	0.9653	0.972	
Tom found an old case of cookies. He thought to offer them to his roommates. He didn't tell them they were stale. The fatties ate them enthusiastically.	Tom found an old case of cookies. He thought to offer them to his roommates. He didn't tell them they were stale. People ate them enthusiastically.	0.859088874	0.945454545	0.94694288	4.364730348	0.928276767	0.980113029	0.987751663	0.986892521	0.963864863	0.960628986	0.895234843	0.850519948	0.819462207	0.631078839	0.470642507	0.717015862	0.537378609	-1.103882313	-0.731598258	-0.91774	-0.916492045	-0.68045032	-0.798471183	-0.864759684	-0.527556002	-0.696157843	0.961	0.955	0.963	
